timestamp,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
0,0.0,0.5621459866603303,0.22029309850645457,0.0,0.5519357767530172,0.9999000099990001,0.0,0.1785625004464062,0.9999497004455712,0.9999572215610149,0.8143363663552,0.9749141839396201,0.9853135522234013,0.0,0.11715633205421955,0.0,0.3033456045995622,0.20013532250828836,0.0,0.33331892298768556,0.3872053872054394,0.0,0.9171191801315959,0.0,0.0,0.0006172559034169931,0.08162882150429672
1,0.0,0.5621459866603303,0.22029309850645457,0.0,0.5151400583028161,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.6864961528110919,0.9730125307849914,0.9853135522234013,0.0,0.11797646738536564,0.0003929514102926638,0.3036529011599381,0.2002488825182228,0.0,0.33331892298768556,0.2693602693602442,0.0,0.9205075514867616,0.0,0.0,0.0006172559034169931,0.06122161612822256
2,0.0,0.5621459866603303,0.22029309850645457,0.0,0.5519357767530172,0.9999000099990001,0.0,0.10713750026784372,0.9999497004455712,0.9999572215610149,0.013029099387983778,0.9825207965581352,0.9853135522234013,0.0,0.11879660271651174,0.0007859028205853276,0.3036968006685632,0.20026307751946465,0.0,0.33331892298768556,0.5555555555556173,0.0,0.9198487015010351,0.8910066413565884,0.98743388737785,0.0006172559034169931,0.06122161612822256
3,0.0,0.5621459866603303,0.22029309850645457,0.0,0.4967421990776865,0.9999000099990001,0.0,0.0535687501339218,0.9999497004455712,0.9999572215610149,0.37387320081695335,0.9736464151698682,0.9867790656872932,0.0,0.11961673804765782,0.0011788542304232666,0.304004097228939,0.20037663752939908,0.0,0.33331892298768556,0.45454545454545,0.0,0.915895601586675,0.8905843633275093,0.0,0.0006172559034169931,0.10203602688037089
4,0.0,0.5621459866603303,0.22029309850645457,0.0,0.5519357767530172,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.8803389141787326,0.9749141839396201,0.9906871015910053,0.0,0.12043687337880392,0.0015718056407159303,0.31252060190221176,0.20085926757162068,0.0,0.0,0.47138047138047784,0.0,0.9167426944254665,0.0,0.0,0.0006172559034169931,0.06122161612822256
5,0.0,0.5621459866603303,0.22029309850645457,0.0,0.4967421990776865,0.0,0.0,0.07142500017856247,0.9999497004455712,0.9999572215610149,0.7740774443241348,0.9768158370942489,0.9936181285187894,0.0,0.12125700870995,0.0019647570505538694,0.31309129551433834,0.2010154125852806,0.0,0.33331892298768556,0.45454545454545,0.0,0.915519115880545,0.0,0.98743388737785,0.0006172559034169931,0.14285043763251928
6,0.0,0.5621459866603303,0.22029309850645457,0.0,0.4967421990776865,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.8144326642072908,0.9742802995547434,0.9950836419826814,0.0,0.1220771440410961,0.0023577084608465333,0.3141887832299663,0.20124253260514954,0.0,0.33331892298768556,0.40404040404036634,0.0,0.9193780943683734,0.8897398072693514,0.9807818486028008,0.0006172559034169931,0.04081441075214833
7,0.0,0.5621459866603303,0.22029309850645457,0.0,0.4967421990776865,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.81385327213054,0.9711108776303626,0.9965491554465733,0.0,0.1228972793722422,0.002750659871139197,0.009482293863025387,0.06708557586879713,0.0,0.33331892298768556,0.5218855218855615,0.0,0.9231429514296683,0.8893175292402725,0.9930356042410492,0.0006172559034169931,0.08162882150429672
8,0.0,0.5621459866603303,0.22029309850645457,0.0,0.4231507621773421,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.8138629019157488,0.9711108776303626,0.9980146689104654,0.0,0.12371741470338828,0.0031436112809771362,0.010316384526902636,0.06725591588369882,0.0,0.33331892298768556,0.3872053872054394,0.0,0.91570735873361,0.8893175292402725,0.9930356042410492,0.0006172559034169931,0.0
9,0.0,0.5022431741056034,0.05566802927622704,0.0,0.38635504372708307,0.9999000099990001,0.0,0.017856250044640563,0.9999497004455712,0.9999572215610149,0.8138035182402937,0.9723786464001146,0.9999686868623214,0.0,0.12453755003453437,0.0035365626912698,0.01198456585465707,0.06749723090480962,0.0,0.33331892298768556,0.5218855218855615,0.0,0.9147661444682861,0.8893175292402725,0.9930356042410492,0.0006172559034169931,0.020407205376074166
